"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B15001_001E","Estimate!!Total:"
"B15001_001EA","Annotation of Estimate!!Total:"
"B15001_001M","Margin of Error!!Total:"
"B15001_001MA","Annotation of Margin of Error!!Total:"
"B15001_002E","Estimate!!Total:!!Male:"
"B15001_002M","Margin of Error!!Total:!!Male:"
"B15001_002MA","Annotation of Margin of Error!!Total:!!Male:"
"B15001_002EA","Annotation of Estimate!!Total:!!Male:"
"B15001_003E","Estimate!!Total:!!Male:!!18 to 24 years:"
"B15001_003M","Margin of Error!!Total:!!Male:!!18 to 24 years:"
"B15001_003MA","Annotation of Margin of Error!!Total:!!Male:!!18 to 24 years:"
"B15001_003EA","Annotation of Estimate!!Total:!!Male:!!18 to 24 years:"
"B15001_004E","Estimate!!Total:!!Male:!!18 to 24 years:!!Less than 9th grade"
"B15001_004EA","Annotation of Estimate!!Total:!!Male:!!18 to 24 years:!!Less than 9th grade"
"B15001_004M","Margin of Error!!Total:!!Male:!!18 to 24 years:!!Less than 9th grade"
"B15001_004MA","Annotation of Margin of Error!!Total:!!Male:!!18 to 24 years:!!Less than 9th grade"
"B15001_005E","Estimate!!Total:!!Male:!!18 to 24 years:!!9th to 12th grade, no diploma"
"B15001_005EA","Annotation of Estimate!!Total:!!Male:!!18 to 24 years:!!9th to 12th grade, no diploma"
"B15001_005M","Margin of Error!!Total:!!Male:!!18 to 24 years:!!9th to 12th grade, no diploma"
"B15001_005MA","Annotation of Margin of Error!!Total:!!Male:!!18 to 24 years:!!9th to 12th grade, no diploma"
"B15001_006E","Estimate!!Total:!!Male:!!18 to 24 years:!!High school graduate (includes equivalency)"
"B15001_006EA","Annotation of Estimate!!Total:!!Male:!!18 to 24 years:!!High school graduate (includes equivalency)"
"B15001_006M","Margin of Error!!Total:!!Male:!!18 to 24 years:!!High school graduate (includes equivalency)"
"B15001_006MA","Annotation of Margin of Error!!Total:!!Male:!!18 to 24 years:!!High school graduate (includes equivalency)"
"B15001_007E","Estimate!!Total:!!Male:!!18 to 24 years:!!Some college, no degree"
"B15001_007M","Margin of Error!!Total:!!Male:!!18 to 24 years:!!Some college, no degree"
"B15001_007MA","Annotation of Margin of Error!!Total:!!Male:!!18 to 24 years:!!Some college, no degree"
"B15001_007EA","Annotation of Estimate!!Total:!!Male:!!18 to 24 years:!!Some college, no degree"
"B15001_008E","Estimate!!Total:!!Male:!!18 to 24 years:!!Associate's degree"
"B15001_008EA","Annotation of Estimate!!Total:!!Male:!!18 to 24 years:!!Associate's degree"
"B15001_008M","Margin of Error!!Total:!!Male:!!18 to 24 years:!!Associate's degree"
"B15001_008MA","Annotation of Margin of Error!!Total:!!Male:!!18 to 24 years:!!Associate's degree"
"B15001_009E","Estimate!!Total:!!Male:!!18 to 24 years:!!Bachelor's degree"
"B15001_009EA","Annotation of Estimate!!Total:!!Male:!!18 to 24 years:!!Bachelor's degree"
"B15001_009M","Margin of Error!!Total:!!Male:!!18 to 24 years:!!Bachelor's degree"
"B15001_009MA","Annotation of Margin of Error!!Total:!!Male:!!18 to 24 years:!!Bachelor's degree"
"B15001_010E","Estimate!!Total:!!Male:!!18 to 24 years:!!Graduate or professional degree"
"B15001_010EA","Annotation of Estimate!!Total:!!Male:!!18 to 24 years:!!Graduate or professional degree"
"B15001_010M","Margin of Error!!Total:!!Male:!!18 to 24 years:!!Graduate or professional degree"
"B15001_010MA","Annotation of Margin of Error!!Total:!!Male:!!18 to 24 years:!!Graduate or professional degree"
"B15001_011E","Estimate!!Total:!!Male:!!25 to 34 years:"
"B15001_011EA","Annotation of Estimate!!Total:!!Male:!!25 to 34 years:"
"B15001_011M","Margin of Error!!Total:!!Male:!!25 to 34 years:"
"B15001_011MA","Annotation of Margin of Error!!Total:!!Male:!!25 to 34 years:"
"B15001_012E","Estimate!!Total:!!Male:!!25 to 34 years:!!Less than 9th grade"
"B15001_012M","Margin of Error!!Total:!!Male:!!25 to 34 years:!!Less than 9th grade"
"B15001_012MA","Annotation of Margin of Error!!Total:!!Male:!!25 to 34 years:!!Less than 9th grade"
"B15001_012EA","Annotation of Estimate!!Total:!!Male:!!25 to 34 years:!!Less than 9th grade"
