ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): CALIFORNIA

Agency Name,State Name [District] Latest available year,Total Students All Grades (Includes AE) [District] 2021-22,Total Students All Grades (Excludes AE) [District] 2021-22
ABC UNIFIED,California,18889,18889
ACADEMIA AVANCE CHARTER DISTRICT,CALIFORNIA,263,263
ACADEMIA MODERNA DISTRICT,CALIFORNIA,439,439
ACADEMY FOR ACADEMIC EXCELLENCE DISTRICT,CALIFORNIA,1456,1456
ACADEMY OF MEDIA ARTS DISTRICT,CALIFORNIA,105,105
ACALANES UNION HIGH,California,5466,5466
ACCELERATED ACHIEVEMENT ACADEMY DISTRICT,CALIFORNIA,132,132
ACCELERATED CHARTER ELEMENTARY DISTRICT,CALIFORNIA,514,514
ACCELERATED DISTRICT,CALIFORNIA,770,770
ACE CHARTER HIGH DISTRICT,CALIFORNIA,412,412
ACE EMPOWER ACADEMY DISTRICT,CALIFORNIA,208,208
ACE ESPERANZA MIDDLE DISTRICT,CALIFORNIA,222,222
ACE INSPIRE ACADEMY DISTRICT,CALIFORNIA,229,229
ACHIEVE ACADEMY DISTRICT,CALIFORNIA,548,548
ACHIEVE CHARTER HIGH DISTRICT,CALIFORNIA,†,†
ACHIEVE CHARTER SCHOOL OF CHICO DISTRICT,CALIFORNIA,188,188
ACHIEVE CHARTER SCHOOL OF PARADISE INC. DISTRICT,CALIFORNIA,94,94
ACKERMAN CHARTER,California,562,562
ACTON-AGUA DULCE UNIFIED,California,939,939
ADELANTE CHARTER DISTRICT,CALIFORNIA,300,300
ADELANTO ELEMENTARY,California,7806,7806
AEROSTEM ACADEMY DISTRICT,CALIFORNIA,152,152
AGNES J. JOHNSON CHARTER DISTRICT,CALIFORNIA,103,103
ALAIN LEROY LOCKE COLLEGE PREPARATORY ACADEMY DISTRICT,CALIFORNIA,1287,1287
ALAMEDA CNTY. STUDENT EXCHANGE PROG.,California,†,†
ALAMEDA COMMUNITY LEARNING CENTER DISTRICT,CALIFORNIA,356,356
ALAMEDA COUNTY OFFICE OF EDUCATION,California,300,300
ALAMEDA UNIFIED,California,8706,8706
ALBANY CITY UNIFIED,California,3514,3514
ALBERT EINSTEIN ACADEMY CHARTER MIDDLE DISTRICT,CALIFORNIA,1421,1421
ALDER GROVE CHARTER SCHOOL 2 DISTRICT,CALIFORNIA,457,457
ALEXANDER VALLEY UNION ELEMENTARY,California,113,113
ALHAMBRA UNIFIED,California,15262,15262
ALISAL UNION,California,7851,7851
ALL TRIBES CHARTER DISTRICT,CALIFORNIA,60,60
ALL TRIBES ELEMENTARY CHARTER DISTRICT,CALIFORNIA,65,65
ALLEGIANCE STEAM ACADEMY - THRIVE DISTRICT,CALIFORNIA,888,888
ALLENSWORTH ELEMENTARY,California,80,80
ALLIANCE CINDY AND BILL SIMON TECHNOLOGY ACAD HIGH DISTRICT,CALIFORNIA,505,505
ALLIANCE COLLEGE-READY MIDDLE ACADEMY 12 DISTRICT,CALIFORNIA,498,498
ALLIANCE COLLEGE-READY MIDDLE ACADEMY 4 DISTRICT,CALIFORNIA,461,461
ALLIANCE COLLEGE-READY MIDDLE ACADEMY 8 DISTRICT,CALIFORNIA,426,426
ALLIANCE COLLINS FAMILY COLLEGE-READY HIGH DISTRICT,CALIFORNIA,624,624
ALLIANCE DR. OLGA MOHAN HIGH DISTRICT,CALIFORNIA,484,484
ALLIANCE GERTZ-RESSLER RICHARD MERKIN 6-12 COMPLEX DISTRICT,CALIFORNIA,1003,1003
ALLIANCE JACK H. SKIRBALL MIDDLE DISTRICT,CALIFORNIA,405,405
ALLIANCE JUDY IVIE BURTON TECHNOLOGY ACADEMY HIGH DISTRICT,CALIFORNIA,623,623
ALLIANCE KORY HUNTER MIDDLE DISTRICT,CALIFORNIA,461,461
ALLIANCE LEICHTMAN-LEVINE FAM FOUNDATION ENV SCI HIGH DIST,CALIFORNIA,374,374
ALLIANCE MARC & EVA STERN MATH AND SCIENCE DISTRICT,CALIFORNIA,574,574
ALLIANCE MARGARET M.BLOOMFIELD TECHNOLOGY ACAD HIGH DISTRICT,CALIFORNIA,574,574
ALLIANCE MARINE - INNOVATION AND TECHN 6-12 COMPLEX DISTRICT,CALIFORNIA,1028,1028
ALLIANCE MORGAN MCKINZIE HIGH DISTRICT,CALIFORNIA,471,471
