From, To, Count,  Acreage
Corn, Corn, 166619, 37055.2
Corn, Cotton, 1, 0.2
Corn, Rice, 4747, 1055.7
Corn, Sorghum, 1892, 420.8
Corn, Sunflowers, 528, 117.4
Corn, Barley, 659, 146.6
Corn, Winter Wheat, 22487, 5001.0
Corn, Oats, 1304, 290.0
Corn, Safflower, 10953, 2435.9
Corn, Alfalfa, 5180, 1152.0
Corn, Other Hay/Non Alfalfa, 1243, 276.4
Corn, Dry Beans, 47, 10.5
Corn, Hemp, 51, 11.3
Corn, Watermelons, 1549, 344.5
Corn, Onions, 20, 4.4
Corn, Cucumbers, 1054, 234.4
Corn, Chick Peas, 31, 6.9
Corn, Tomatoes, 6875, 1529.0
Corn, Sod/Grass Seed, 78, 17.3
Corn, Fallow/Idle Cropland, 16202, 3603.2
Corn, Apples, 1, 0.2
Corn, Grapes, 437, 97.2
Corn, Almonds, 1140, 253.5
Corn, Walnuts, 26, 5.8
Corn, Developed/Low Intensity, 3, 0.7
Corn, Evergreen Forest, 1, 0.2
Corn, Mixed Forest, 1, 0.2
Corn, Shrubland, 4, 0.9
Corn, Grass/Pasture, 66, 14.7
Corn, Woody Wetlands, 12, 2.7
Corn, Herbaceous Wetlands, 18, 4.0
Corn, Triticale, 19007, 4227.1
Corn, Garlic, 122, 27.1
Corn, Olives, 2, 0.4
Corn, Plums, 2, 0.4
Corn, Dbl Crop WinWht/Corn, 7, 1.6
Corn, Dbl Crop Oats/Corn, 299, 66.5
Corn, Dbl Crop Triticale/Corn, 435, 96.7
Corn, Pumpkins, 4, 0.9
Cotton, Cotton, 5, 1.1
Cotton, Rice, 1060, 235.7
Cotton, Sunflowers, 19, 4.2
Cotton, Winter Wheat, 9, 2.0
Cotton, Safflower, 6, 1.3
Cotton, Alfalfa, 64, 14.2
Cotton, Other Hay/Non Alfalfa, 18, 4.0
Cotton, Tomatoes, 2, 0.4
Cotton, Clover/Wildflowers, 2, 0.4
Cotton, Fallow/Idle Cropland, 73, 16.2
Cotton, Peaches, 2, 0.4
Cotton, Cantaloupes, 22, 4.9
Rice, Corn, 1662, 369.6
Rice, Rice, 39372, 8756.1
Rice, Sunflowers, 145, 32.2
Rice, Barley, 29, 6.4
Rice, Winter Wheat, 292, 64.9
Rice, Rye, 26, 5.8
Rice, Oats, 16, 3.6
Rice, Safflower, 117, 26.0
Rice, Alfalfa, 314, 69.8
Rice, Other Hay/Non Alfalfa, 12, 2.7
Rice, Dry Beans, 12, 2.7
Rice, Hemp, 265, 58.9
Rice, Watermelons, 1, 0.2
Rice, Cucumbers, 1, 0.2
Rice, Tomatoes, 198, 44.0
Rice, Clover/Wildflowers, 1, 0.2
Rice, Sod/Grass Seed, 98, 21.8
Rice, Fallow/Idle Cropland, 4660, 1036.4
Rice, Peaches, 19, 4.2
Rice, Grapes, 34, 7.6
Rice, Pecans, 40, 8.9
Rice, Almonds, 57, 12.7
Rice, Walnuts, 2, 0.4
Rice, Open Water, 26, 5.8
Rice, Evergreen Forest, 2, 0.4
Rice, Grass/Pasture, 340, 75.6
Rice, Woody Wetlands, 1, 0.2
Rice, Herbaceous Wetlands, 19, 4.2
Rice, Triticale, 1, 0.2
Rice, Cantaloupes, 1, 0.2
Rice, Dbl Crop Oats/Corn, 1, 0.2
Sorghum, Sorghum, 13, 2.9
Sorghum, Winter Wheat, 2, 0.4
Sorghum, Tomatoes, 226, 50.3
Sorghum, Triticale, 146, 32.5
Sunflowers, Corn, 344, 76.5
Sunflowers, Rice, 68, 15.1
Sunflowers, Sorghum, 48, 10.7
Sunflowers, Sunflowers, 743, 165.2
Sunflowers, Sweet Corn, 1, 0.2
Sunflowers, Barley, 166, 36.9
Sunflowers, Winter Wheat, 1916, 426.1
Sunflowers, Rye, 36, 8.0
Sunflowers, Oats, 46, 10.2
Sunflowers, Safflower, 910, 202.4
Sunflowers, Alfalfa, 736, 163.7
Sunflowers, Other Hay/Non Alfalfa, 456, 101.4
Sunflowers, Hemp, 39, 8.7
Sunflowers, Watermelons, 462, 102.7
Sunflowers, Cucumbers, 7, 1.6
Sunflowers, Tomatoes, 3876, 862.0
Sunflowers, Herbs, 35, 7.8
Sunflowers, Sod/Grass Seed, 2, 0.4
Sunflowers, Fallow/Idle Cropland, 1553, 345.4
Sunflowers, Other Tree Crops, 1, 0.2
Sunflowers, Almonds, 2021, 449.5
Sunflowers, Walnuts, 52, 11.6
Sunflowers, Shrubland, 580, 129.0
Sunflowers, Grass/Pasture, 85, 18.9
Sunflowers, Woody Wetlands, 1, 0.2
Sunflowers, Herbaceous Wetlands, 4, 0.9
Sunflowers, Pistachios, 8, 1.8
Sunflowers, Triticale, 487, 108.3
Sunflowers, Garlic, 6, 1.3
Sunflowers, Peppers, 28, 6.2
Sunflowers, Plums, 1, 0.2
Sunflowers, Squash, 23, 5.1
Sunflowers, Dbl Crop Oats/Corn, 1, 0.2
Sweet Corn, Corn, 586, 130.3
Sweet Corn, Rice, 4, 0.9
Sweet Corn, Sunflowers, 1, 0.2
Sweet Corn, Sweet Corn, 340, 75.6
Sweet Corn, Winter Wheat, 778, 173.0
Sweet Corn, Oats, 212, 47.1
Sweet Corn, Safflower, 13, 2.9
Sweet Corn, Alfalfa, 338, 75.2
Sweet Corn, Dry Beans, 6, 1.3
Sweet Corn, Watermelons, 530, 117.9
Sweet Corn, Tomatoes, 3411, 758.6
Sweet Corn, Fallow/Idle Cropland, 83, 18.5
Sweet Corn, Cherries, 403, 89.6
Sweet Corn, Almonds, 51, 11.3
Sweet Corn, Garlic, 938, 208.6
Sweet Corn, Squash, 241, 53.6
Sweet Corn, Dbl Crop Triticale/Corn, 1, 0.2
Sweet Corn, Pumpkins, 623, 138.6
Pop or Orn Corn, Corn, 133, 29.6
Pop or Orn Corn, Rice, 293, 65.2
Pop or Orn Corn, Sorghum, 176, 39.1
Barley, Corn, 348, 77.4
Barley, Rice, 3, 0.7
Barley, Barley, 184, 40.9
Barley, Winter Wheat, 714, 158.8
Barley, Oats, 78, 17.3
Barley, Safflower, 3, 0.7
Barley, Alfalfa, 14, 3.1
Barley, Other Hay/Non Alfalfa, 583, 129.7
Barley, Dry Beans, 2, 0.4
Barley, Watermelons, 622, 138.3
Barley, Fallow/Idle Cropland, 5, 1.1
