From, To, Count,  Acreage
Corn, Corn, 155757, 34639.5
Corn, Cotton, 14, 3.1
Corn, Rice, 23975, 5331.9
Corn, Sorghum, 2036, 452.8
Corn, Sunflowers, 4153, 923.6
Corn, Sweet Corn, 195, 43.4
Corn, Pop or Orn Corn, 11, 2.4
Corn, Barley, 933, 207.5
Corn, Winter Wheat, 30983, 6890.5
Corn, Rye, 143, 31.8
Corn, Oats, 4589, 1020.6
Corn, Safflower, 17326, 3853.2
Corn, Alfalfa, 44105, 9808.7
Corn, Other Hay/Non Alfalfa, 3285, 730.6
Corn, Dry Beans, 72, 16.0
Corn, Hemp, 779, 173.2
Corn, Watermelons, 2029, 451.2
Corn, Onions, 67, 14.9
Corn, Cucumbers, 1223, 272.0
Corn, Chick Peas, 42, 9.3
Corn, Peas, 25, 5.6
Corn, Tomatoes, 20086, 4467.0
Corn, Herbs, 20, 4.4
Corn, Clover/Wildflowers, 588, 130.8
Corn, Sod/Grass Seed, 59, 13.1
Corn, Fallow/Idle Cropland, 21815, 4851.5
Corn, Cherries, 803, 178.6
Corn, Peaches, 163, 36.3
Corn, Apples, 7, 1.6
Corn, Grapes, 2480, 551.5
Corn, Other Tree Crops, 137, 30.5
Corn, Citrus, 29, 6.4
Corn, Pecans, 2, 0.4
Corn, Almonds, 18176, 4042.2
Corn, Walnuts, 2570, 571.6
Corn, Pears, 177, 39.4
Corn, Open Water, 932, 207.3
Corn, Developed/Open Space, 1759, 391.2
Corn, Developed/Low Intensity, 1552, 345.2
Corn, Developed/Medium Intensity, 557, 123.9
Corn, Developed/High Intensity, 87, 19.3
Corn, Barren, 74, 16.5
Corn, Evergreen Forest, 7, 1.6
Corn, Mixed Forest, 9, 2.0
Corn, Shrubland, 182, 40.5
Corn, Grass/Pasture, 338, 75.2
Corn, Woody Wetlands, 1033, 229.7
Corn, Herbaceous Wetlands, 894, 198.8
Corn, Pistachios, 980, 217.9
Corn, Triticale, 21518, 4785.5
Corn, Garlic, 1906, 423.9
Corn, Cantaloupes, 5, 1.1
Corn, Prunes, 20, 4.4
Corn, Olives, 2311, 514.0
Corn, Peppers, 15, 3.3
Corn, Pomegranates, 3, 0.7
Corn, Plums, 65, 14.5
Corn, Strawberries, 73, 16.2
Corn, Squash, 49, 10.9
Corn, Dbl Crop WinWht/Corn, 1245, 276.9
Corn, Dbl Crop Oats/Corn, 615, 136.8
Corn, Lettuce, 2, 0.4
Corn, Dbl Crop Triticale/Corn, 432, 96.1
Corn, Pumpkins, 236, 52.5
Corn, Dbl Crop WinWht/Sorghum, 1, 0.2
Corn, Dbl Crop Barley/Corn, 268, 59.6
Cotton, Corn, 16, 3.6
Cotton, Cotton, 3, 0.7
Cotton, Rice, 9, 2.0
Cotton, Sunflowers, 2, 0.4
Cotton, Winter Wheat, 13, 2.9
Cotton, Rye, 1, 0.2
Cotton, Oats, 1, 0.2
Cotton, Safflower, 4, 0.9
Cotton, Alfalfa, 80, 17.8
Cotton, Other Hay/Non Alfalfa, 40, 8.9
Cotton, Dry Beans, 1, 0.2
Cotton, Hemp, 2, 0.4
Cotton, Watermelons, 1, 0.2
Cotton, Cucumbers, 1, 0.2
Cotton, Tomatoes, 23, 5.1
Cotton, Clover/Wildflowers, 14, 3.1
Cotton, Fallow/Idle Cropland, 18, 4.0
Cotton, Cherries, 4, 0.9
Cotton, Peaches, 2, 0.4
Cotton, Almonds, 27, 6.0
Cotton, Walnuts, 17, 3.8
Cotton, Open Water, 4, 0.9
Cotton, Developed/Open Space, 3, 0.7
Cotton, Developed/Low Intensity, 2, 0.4
Cotton, Developed/Medium Intensity, 3, 0.7
Cotton, Shrubland, 1, 0.2
Cotton, Grass/Pasture, 2, 0.4
Cotton, Woody Wetlands, 6, 1.3
Cotton, Herbaceous Wetlands, 9, 2.0
Cotton, Pistachios, 21, 4.7
Cotton, Triticale, 3, 0.7
Cotton, Garlic, 7, 1.6
Cotton, Olives, 1, 0.2
Cotton, Strawberries, 2, 0.4
Cotton, Dbl Crop WinWht/Corn, 35, 7.8
Rice, Corn, 229, 50.9
Rice, Cotton, 1, 0.2
Rice, Rice, 16415, 3650.6
Rice, Sorghum, 14, 3.1
Rice, Sunflowers, 70, 15.6
Rice, Sweet Corn, 1, 0.2
Rice, Barley, 10, 2.2
Rice, Winter Wheat, 101, 22.5
Rice, Rye, 1, 0.2
Rice, Oats, 7, 1.6
Rice, Safflower, 89, 19.8
Rice, Alfalfa, 293, 65.2
Rice, Other Hay/Non Alfalfa, 72, 16.0
Rice, Dry Beans, 1, 0.2
Rice, Hemp, 433, 96.3
Rice, Watermelons, 12, 2.7
Rice, Onions, 5, 1.1
Rice, Cucumbers, 7, 1.6
Rice, Tomatoes, 88, 19.6
Rice, Clover/Wildflowers, 14, 3.1
Rice, Sod/Grass Seed, 8, 1.8
Rice, Fallow/Idle Cropland, 2562, 569.8
Rice, Cherries, 7, 1.6
Rice, Peaches, 18, 4.0
Rice, Grapes, 10, 2.2
Rice, Other Tree Crops, 2, 0.4
Rice, Pecans, 14, 3.1
Rice, Almonds, 198, 44.0
Rice, Walnuts, 29, 6.4
Rice, Pears, 1, 0.2
Rice, Aquaculture, 2, 0.4
Rice, Open Water, 288, 64.0
Rice, Developed/Open Space, 68, 15.1
Rice, Developed/Low Intensity, 54, 12.0
Rice, Developed/Medium Intensity, 30, 6.7
Rice, Developed/High Intensity, 29, 6.4
Rice, Barren, 94, 20.9
Rice, Mixed Forest, 2, 0.4
Rice, Shrubland, 10, 2.2
Rice, Grass/Pasture, 18, 4.0
Rice, Woody Wetlands, 109, 24.2
Rice, Herbaceous Wetlands, 122, 27.1
Rice, Triticale, 14, 3.1
Rice, Carrots, 2, 0.4
Rice, Garlic, 3, 0.7
Rice, Prunes, 4, 0.9
Rice, Olives, 10, 2.2
Rice, Peppers, 1, 0.2
Rice, Plums, 29, 6.4
Rice, Strawberries, 3, 0.7
Rice, Dbl Crop WinWht/Corn, 11, 2.4
Rice, Dbl Crop Oats/Corn, 3, 0.7
Rice, Dbl Crop Triticale/Corn, 1, 0.2
Rice, Pumpkins, 1, 0.2
Sorghum, Corn, 4802, 1067.9
Sorghum, Cotton, 1, 0.2
Sorghum, Rice, 56, 12.5
Sorghum, Sorghum, 10, 2.2
Sorghum, Sunflowers, 47, 10.5
Sorghum, Sweet Corn, 9, 2.0
Sorghum, Pop or Orn Corn, 1, 0.2
Sorghum, Barley, 236, 52.5
Sorghum, Winter Wheat, 2094, 465.7
Sorghum, Rye, 5, 1.1
Sorghum, Oats, 70, 15.6
Sorghum, Safflower, 346, 76.9
Sorghum, Alfalfa, 1385, 308.0
Sorghum, Other Hay/Non Alfalfa, 194, 43.1
Sorghum, Dry Beans, 1, 0.2
Sorghum, Hemp, 26, 5.8
Sorghum, Watermelons, 41, 9.1
Sorghum, Cucumbers, 54, 12.0
Sorghum, Peas, 2, 0.4
Sorghum, Tomatoes, 536, 119.2
Sorghum, Herbs, 1, 0.2
Sorghum, Clover/Wildflowers, 2, 0.4
Sorghum, Fallow/Idle Cropland, 306, 68.1
Sorghum, Cherries, 9, 2.0
Sorghum, Grapes, 13, 2.9
Sorghum, Almonds, 926, 205.9
Sorghum, Walnuts, 39, 8.7
Sorghum, Pears, 1, 0.2
Sorghum, Open Water, 4, 0.9
Sorghum, Developed/Open Space, 45, 10.0
Sorghum, Developed/Low Intensity, 53, 11.8
Sorghum, Developed/Medium Intensity, 17, 3.8
Sorghum, Developed/High Intensity, 2, 0.4
Sorghum, Shrubland, 1, 0.2
Sorghum, Grass/Pasture, 22, 4.9
Sorghum, Woody Wetlands, 5, 1.1
Sorghum, Herbaceous Wetlands, 20, 4.4
Sorghum, Pistachios, 16, 3.6
Sorghum, Triticale, 880, 195.7
Sorghum, Garlic, 190, 42.3
Sorghum, Prunes, 1, 0.2
Sorghum, Olives, 13, 2.9
Sorghum, Squash, 2, 0.4
Sorghum, Dbl Crop WinWht/Corn, 25, 5.6
Sorghum, Dbl Crop Oats/Corn, 2, 0.4
Sorghum, Pumpkins, 2, 0.4
Soybeans, Corn, 455, 101.2
Soybeans, Rice, 10, 2.2
Soybeans, Sorghum, 23, 5.1
Soybeans, Sunflowers, 54, 12.0
Soybeans, Winter Wheat, 38, 8.5
Soybeans, Rye, 1, 0.2
Soybeans, Oats, 1, 0.2
Soybeans, Safflower, 22, 4.9
Soybeans, Alfalfa, 996, 221.5
Soybeans, Other Hay/Non Alfalfa, 16, 3.6
Soybeans, Dry Beans, 1, 0.2
Soybeans, Hemp, 4, 0.9
Soybeans, Cucumbers, 4, 0.9
Soybeans, Tomatoes, 17, 3.8
Soybeans, Clover/Wildflowers, 2, 0.4
Soybeans, Fallow/Idle Cropland, 71, 15.8
Soybeans, Cherries, 3, 0.7
Soybeans, Grapes, 5, 1.1
Soybeans, Almonds, 159, 35.4
Soybeans, Pears, 1, 0.2
Soybeans, Open Water, 1, 0.2
Soybeans, Developed/Open Space, 2, 0.4
Soybeans, Developed/Low Intensity, 1, 0.2
Soybeans, Developed/Medium Intensity, 1, 0.2
Soybeans, Developed/High Intensity, 1, 0.2
Soybeans, Woody Wetlands, 15, 3.3
Soybeans, Triticale, 513, 114.1
Soybeans, Garlic, 1, 0.2
Soybeans, Dbl Crop WinWht/Corn, 1, 0.2
Sunflowers, Corn, 297, 66.1
Sunflowers, Cotton, 3, 0.7
Sunflowers, Rice, 59, 13.1
Sunflowers, Sorghum, 10, 2.2
Sunflowers, Sunflowers, 1137, 252.9
Sunflowers, Sweet Corn, 4, 0.9
Sunflowers, Barley, 13, 2.9
Sunflowers, Winter Wheat, 488, 108.5
Sunflowers, Rye, 6, 1.3
Sunflowers, Oats, 354, 78.7
Sunflowers, Safflower, 221, 49.1
Sunflowers, Alfalfa, 3222, 716.6
Sunflowers, Other Hay/Non Alfalfa, 141, 31.4
Sunflowers, Dry Beans, 6, 1.3
Sunflowers, Hemp, 15, 3.3
Sunflowers, Watermelons, 49, 10.9
Sunflowers, Cucumbers, 36, 8.0
Sunflowers, Peas, 1, 0.2
Sunflowers, Tomatoes, 1001, 222.6
Sunflowers, Clover/Wildflowers, 2130, 473.7
Sunflowers, Fallow/Idle Cropland, 261, 58.0
Sunflowers, Cherries, 1, 0.2
Sunflowers, Peaches, 1, 0.2
Sunflowers, Grapes, 422, 93.9
Sunflowers, Almonds, 656, 145.9
Sunflowers, Walnuts, 139, 30.9
Sunflowers, Pears, 2, 0.4
Sunflowers, Open Water, 126, 28.0
Sunflowers, Developed/Open Space, 69, 15.3
Sunflowers, Developed/Low Intensity, 73, 16.2
Sunflowers, Developed/Medium Intensity, 12, 2.7
Sunflowers, Developed/High Intensity, 1, 0.2
Sunflowers, Shrubland, 5, 1.1
Sunflowers, Grass/Pasture, 3, 0.7
Sunflowers, Woody Wetlands, 4, 0.9
Sunflowers, Herbaceous Wetlands, 23, 5.1
Sunflowers, Pistachios, 14, 3.1
Sunflowers, Triticale, 262, 58.3
Sunflowers, Garlic, 40, 8.9
Sunflowers, Prunes, 1, 0.2
Sunflowers, Olives, 4, 0.9
Sunflowers, Peppers, 11, 2.4
Sunflowers, Plums, 3, 0.7
Sunflowers, Squash, 2, 0.4
Sunflowers, Dbl Crop WinWht/Corn, 2, 0.4
Sunflowers, Dbl Crop Oats/Corn, 10, 2.2
Sunflowers, Dbl Crop Triticale/Corn, 2, 0.4
