From, To, Count,  Acreage
Corn, Corn, 161053, 35817.3
Corn, Cotton, 19, 4.2
Corn, Rice, 258, 57.4
Corn, Sorghum, 4931, 1096.6
Corn, Soybeans, 456, 101.4
Corn, Sunflowers, 353, 78.5
Corn, Barley, 24, 5.3
Corn, Winter Wheat, 8742, 1944.2
Corn, Rye, 12, 2.7
Corn, Oats, 190, 42.3
Corn, Safflower, 7985, 1775.8
Corn, Alfalfa, 13812, 3071.7
Corn, Other Hay/Non Alfalfa, 1923, 427.7
Corn, Dry Beans, 2112, 469.7
Corn, Hemp, 13, 2.9
Corn, Watermelons, 62, 13.8
Corn, Onions, 102, 22.7
Corn, Cucumbers, 647, 143.9
Corn, Peas, 72, 16.0
Corn, Tomatoes, 5993, 1332.8
Corn, Herbs, 3, 0.7
Corn, Clover/Wildflowers, 1145, 254.6
Corn, Sod/Grass Seed, 363, 80.7
Corn, Fallow/Idle Cropland, 7273, 1617.5
Corn, Cherries, 2, 0.4
Corn, Peaches, 27, 6.0
Corn, Grapes, 108, 24.0
Corn, Other Tree Crops, 67, 14.9
Corn, Pecans, 1, 0.2
Corn, Almonds, 122, 27.1
Corn, Walnuts, 35, 7.8
Corn, Pears, 39, 8.7
Corn, Open Water, 30, 6.7
Corn, Developed/Open Space, 809, 179.9
Corn, Developed/Low Intensity, 164, 36.5
Corn, Developed/Medium Intensity, 9, 2.0
Corn, Deciduous Forest, 1, 0.2
Corn, Evergreen Forest, 1, 0.2
Corn, Shrubland, 3, 0.7
Corn, Grass/Pasture, 138, 30.7
Corn, Woody Wetlands, 3, 0.7
Corn, Herbaceous Wetlands, 75, 16.7
Corn, Pistachios, 2, 0.4
Corn, Triticale, 6680, 1485.6
Corn, Carrots, 137, 30.5
Corn, Garlic, 374, 83.2
Corn, Cantaloupes, 26, 5.8
Corn, Olives, 317, 70.5
Corn, Oranges, 60, 13.3
Corn, Honeydew Melons, 2, 0.4
Corn, Peppers, 8, 1.8
Corn, Plums, 25, 5.6
Corn, Squash, 186, 41.4
Corn, Vetch, 80, 17.8
Corn, Dbl Crop WinWht/Corn, 1552, 345.2
Corn, Dbl Crop Oats/Corn, 501, 111.4
Corn, Pumpkins, 110, 24.5
Corn, Dbl Crop WinWht/Sorghum, 5, 1.1
Cotton, Corn, 36, 8.0
Cotton, Cotton, 6, 1.3
Cotton, Rice, 2, 0.4
Cotton, Sorghum, 1, 0.2
Cotton, Sunflowers, 5, 1.1
Cotton, Winter Wheat, 30, 6.7
Cotton, Safflower, 41, 9.1
Cotton, Alfalfa, 51, 11.3
Cotton, Other Hay/Non Alfalfa, 29, 6.4
Cotton, Dry Beans, 6, 1.3
Cotton, Onions, 3, 0.7
Cotton, Tomatoes, 4, 0.9
Cotton, Sod/Grass Seed, 8, 1.8
Cotton, Fallow/Idle Cropland, 25, 5.6
Cotton, Grapes, 2, 0.4
Cotton, Other Tree Crops, 1, 0.2
Cotton, Almonds, 2, 0.4
Cotton, Open Water, 1, 0.2
Cotton, Developed/Open Space, 18, 4.0
Cotton, Developed/Low Intensity, 3, 0.7
Cotton, Developed/Medium Intensity, 1, 0.2
Cotton, Shrubland, 1, 0.2
Cotton, Grass/Pasture, 4, 0.9
Cotton, Triticale, 2, 0.4
Cotton, Garlic, 2, 0.4
Cotton, Dbl Crop WinWht/Corn, 10, 2.2
Cotton, Dbl Crop Oats/Corn, 5, 1.1
Rice, Corn, 24830, 5522.1
Rice, Cotton, 12, 2.7
Rice, Rice, 23108, 5139.1
Rice, Sorghum, 65, 14.5
Rice, Soybeans, 10, 2.2
Rice, Sunflowers, 83, 18.5
Rice, Barley, 1, 0.2
Rice, Winter Wheat, 1426, 317.1
Rice, Oats, 7, 1.6
Rice, Millet, 1, 0.2
Rice, Safflower, 424, 94.3
Rice, Alfalfa, 4543, 1010.3
Rice, Other Hay/Non Alfalfa, 526, 117.0
Rice, Dry Beans, 74, 16.5
Rice, Potatoes, 1, 0.2
Rice, Hemp, 2928, 651.2
Rice, Watermelons, 13, 2.9
Rice, Onions, 2, 0.4
Rice, Cucumbers, 101, 22.5
Rice, Peas, 4, 0.9
Rice, Tomatoes, 426, 94.7
Rice, Herbs, 1, 0.2
Rice, Clover/Wildflowers, 376, 83.6
Rice, Sod/Grass Seed, 586, 130.3
Rice, Fallow/Idle Cropland, 12452, 2769.3
Rice, Cherries, 2, 0.4
Rice, Peaches, 60, 13.3
Rice, Grapes, 3065, 681.6
Rice, Other Tree Crops, 71, 15.8
Rice, Almonds, 81, 18.0
Rice, Walnuts, 17, 3.8
Rice, Pears, 2, 0.4
Rice, Open Water, 153, 34.0
Rice, Developed/Open Space, 236, 52.5
Rice, Developed/Low Intensity, 29, 6.4
Rice, Developed/Medium Intensity, 8, 1.8
Rice, Developed/High Intensity, 2, 0.4
Rice, Barren, 1, 0.2
Rice, Deciduous Forest, 8, 1.8
Rice, Shrubland, 21, 4.7
Rice, Grass/Pasture, 192, 42.7
Rice, Woody Wetlands, 69, 15.3
Rice, Herbaceous Wetlands, 431, 95.9
Rice, Triticale, 397, 88.3
Rice, Carrots, 8, 1.8
Rice, Garlic, 4, 0.9
Rice, Olives, 219, 48.7
Rice, Oranges, 26, 5.8
Rice, Honeydew Melons, 2, 0.4
Rice, Peppers, 2, 0.4
Rice, Plums, 2, 0.4
Rice, Strawberries, 2, 0.4
Rice, Squash, 5, 1.1
Rice, Vetch, 56, 12.5
Rice, Dbl Crop WinWht/Corn, 54, 12.0
Rice, Dbl Crop Oats/Corn, 9, 2.0
Rice, Pumpkins, 7, 1.6
Sorghum, Corn, 2092, 465.2
Sorghum, Rice, 14, 3.1
Sorghum, Sorghum, 11, 2.4
Sorghum, Soybeans, 23, 5.1
Sorghum, Sunflowers, 19, 4.2
Sorghum, Winter Wheat, 46, 10.2
Sorghum, Oats, 3, 0.7
Sorghum, Safflower, 35, 7.8
Sorghum, Alfalfa, 47, 10.5
Sorghum, Other Hay/Non Alfalfa, 304, 67.6
Sorghum, Dry Beans, 4, 0.9
Sorghum, Onions, 1, 0.2
Sorghum, Tomatoes, 137, 30.5
Sorghum, Clover/Wildflowers, 10, 2.2
Sorghum, Fallow/Idle Cropland, 69, 15.3
Sorghum, Cherries, 1, 0.2
Sorghum, Peaches, 1, 0.2
Sorghum, Almonds, 11, 2.4
Sorghum, Walnuts, 2, 0.4
Sorghum, Developed/Open Space, 3, 0.7
Sorghum, Developed/Low Intensity, 1, 0.2
Sorghum, Grass/Pasture, 2, 0.4
Sorghum, Woody Wetlands, 8, 1.8
Sorghum, Herbaceous Wetlands, 16, 3.6
Sorghum, Triticale, 4, 0.9
Sorghum, Garlic, 3, 0.7
Sorghum, Oranges, 1, 0.2
Sorghum, Plums, 1, 0.2
Sorghum, Dbl Crop Oats/Corn, 10, 2.2
Sorghum, Pumpkins, 2, 0.4
Sunflowers, Corn, 5611, 1247.9
Sunflowers, Cotton, 5, 1.1
Sunflowers, Rice, 98, 21.8
Sunflowers, Sorghum, 67, 14.9
Sunflowers, Soybeans, 54, 12.0
Sunflowers, Sunflowers, 1264, 281.1
Sunflowers, Barley, 28, 6.2
Sunflowers, Winter Wheat, 935, 207.9
Sunflowers, Oats, 214, 47.6
Sunflowers, Safflower, 1207, 268.4
Sunflowers, Alfalfa, 4650, 1034.1
Sunflowers, Other Hay/Non Alfalfa, 1399, 311.1
Sunflowers, Dry Beans, 750, 166.8
Sunflowers, Hemp, 173, 38.5
Sunflowers, Watermelons, 11, 2.4
Sunflowers, Onions, 11, 2.4
Sunflowers, Cucumbers, 105, 23.4
Sunflowers, Peas, 6, 1.3
