From, To, Count,  Acreage
Corn, Corn, 173502, 38585.9
Corn, Cotton, 40, 8.9
Corn, Rice, 4909, 1091.7
Corn, Sorghum, 1914, 425.7
Corn, Sunflowers, 922, 205.0
Corn, Sweet Corn, 345, 76.7
Corn, Barley, 888, 197.5
Corn, Winter Wheat, 27622, 6143.0
Corn, Oats, 2002, 445.2
Corn, Safflower, 12533, 2787.3
Corn, Alfalfa, 6152, 1368.2
Corn, Other Hay/Non Alfalfa, 1907, 424.1
Corn, Dry Beans, 191, 42.5
Corn, Hemp, 58, 12.9
Corn, Watermelons, 1653, 367.6
Corn, Onions, 464, 103.2
Corn, Cucumbers, 1131, 251.5
Corn, Chick Peas, 44, 9.8
Corn, Tomatoes, 8586, 1909.5
Corn, Sod/Grass Seed, 83, 18.5
Corn, Fallow/Idle Cropland, 16823, 3741.3
Corn, Apples, 1, 0.2
Corn, Grapes, 442, 98.3
Corn, Almonds, 1168, 259.8
Corn, Walnuts, 59, 13.1
Corn, Developed/Low Intensity, 3, 0.7
Corn, Evergreen Forest, 3, 0.7
Corn, Mixed Forest, 1, 0.2
Corn, Shrubland, 6, 1.3
Corn, Grass/Pasture, 67, 14.9
Corn, Woody Wetlands, 20, 4.4
Corn, Herbaceous Wetlands, 25, 5.6
Corn, Triticale, 20073, 4464.1
Corn, Garlic, 138, 30.7
Corn, Olives, 3, 0.7
Corn, Greens, 1, 0.2
Corn, Plums, 2, 0.4
Corn, Dbl Crop WinWht/Corn, 68, 15.1
Corn, Dbl Crop Oats/Corn, 1747, 388.5
Corn, Dbl Crop Triticale/Corn, 474, 105.4
Corn, Pumpkins, 55, 12.2
Cotton, Corn, 1, 0.2
Cotton, Cotton, 9, 2.0
Cotton, Rice, 1092, 242.9
Cotton, Sunflowers, 30, 6.7
Cotton, Winter Wheat, 12, 2.7
Cotton, Safflower, 16, 3.6
Cotton, Alfalfa, 71, 15.8
Cotton, Other Hay/Non Alfalfa, 38, 8.5
Cotton, Tomatoes, 2, 0.4
Cotton, Clover/Wildflowers, 4, 0.9
Cotton, Fallow/Idle Cropland, 98, 21.8
Cotton, Peaches, 4, 0.9
Cotton, Cantaloupes, 30, 6.7
Rice, Corn, 1679, 373.4
Rice, Rice, 47844, 10640.2
Rice, Sunflowers, 163, 36.3
Rice, Barley, 30, 6.7
Rice, Winter Wheat, 447, 99.4
Rice, Rye, 42, 9.3
Rice, Oats, 16, 3.6
Rice, Safflower, 195, 43.4
Rice, Alfalfa, 377, 83.8
Rice, Other Hay/Non Alfalfa, 15, 3.3
Rice, Dry Beans, 13, 2.9
Rice, Hemp, 1861, 413.9
Rice, Watermelons, 1, 0.2
Rice, Cucumbers, 1, 0.2
Rice, Tomatoes, 231, 51.4
Rice, Clover/Wildflowers, 1, 0.2
Rice, Sod/Grass Seed, 102, 22.7
Rice, Fallow/Idle Cropland, 5763, 1281.7
Rice, Peaches, 25, 5.6
Rice, Grapes, 51, 11.3
Rice, Pecans, 54, 12.0
Rice, Almonds, 73, 16.2
Rice, Walnuts, 2, 0.4
Rice, Open Water, 32, 7.1
Rice, Evergreen Forest, 2, 0.4
Rice, Grass/Pasture, 370, 82.3
Rice, Woody Wetlands, 2, 0.4
Rice, Herbaceous Wetlands, 28, 6.2
Rice, Triticale, 1, 0.2
Rice, Cantaloupes, 1, 0.2
Rice, Dbl Crop Oats/Corn, 1, 0.2
Rice, Pumpkins, 3, 0.7
Sorghum, Sorghum, 42, 9.3
Sorghum, Winter Wheat, 2, 0.4
Sorghum, Tomatoes, 230, 51.2
Sorghum, Triticale, 213, 47.4
Soybeans, Winter Wheat, 1, 0.2
Sunflowers, Corn, 357, 79.4
