From, To, Count,  Acreage
Corn, Corn, 161053, 35817.3
Corn, Cotton, 36, 8.0
Corn, Rice, 24830, 5522.1
Corn, Sorghum, 2092, 465.2
Corn, Sunflowers, 5611, 1247.9
Corn, Sweet Corn, 1951, 433.9
Corn, Pop or Orn Corn, 19, 4.2
Corn, Barley, 1613, 358.7
Corn, Winter Wheat, 36620, 8144.1
Corn, Rye, 157, 34.9
Corn, Oats, 5925, 1317.7
Corn, Safflower, 19452, 4326.0
Corn, Alfalfa, 52358, 11644.1
Corn, Other Hay/Non Alfalfa, 4681, 1041.0
Corn, Dry Beans, 549, 122.1
Corn, Hemp, 1390, 309.1
Corn, Watermelons, 2223, 494.4
Corn, Onions, 212, 47.1
Corn, Cucumbers, 1673, 372.1
Corn, Chick Peas, 50, 11.1
Corn, Peas, 26, 5.8
Corn, Tomatoes, 25407, 5650.4
Corn, Herbs, 40, 8.9
Corn, Clover/Wildflowers, 618, 137.4
Corn, Sod/Grass Seed, 65, 14.5
Corn, Fallow/Idle Cropland, 24618, 5474.9
Corn, Cherries, 2440, 542.6
Corn, Peaches, 202, 44.9
Corn, Apples, 11, 2.4
Corn, Grapes, 3037, 675.4
Corn, Other Tree Crops, 155, 34.5
Corn, Citrus, 31, 6.9
Corn, Pecans, 4, 0.9
Corn, Almonds, 26488, 5890.8
Corn, Walnuts, 3607, 802.2
Corn, Pears, 191, 42.5
Corn, Aquaculture, 1, 0.2
Corn, Open Water, 1136, 252.6
Corn, Developed/Open Space, 2818, 626.7
Corn, Developed/Low Intensity, 2577, 573.1
Corn, Developed/Medium Intensity, 1247, 277.3
Corn, Developed/High Intensity, 252, 56.0
Corn, Barren, 125, 27.8
Corn, Evergreen Forest, 9, 2.0
Corn, Mixed Forest, 13, 2.9
Corn, Shrubland, 206, 45.8
Corn, Grass/Pasture, 461, 102.5
Corn, Woody Wetlands, 1139, 253.3
Corn, Herbaceous Wetlands, 1051, 233.7
Corn, Pistachios, 1087, 241.7
Corn, Triticale, 22394, 4980.3
Corn, Garlic, 2081, 462.8
Corn, Cantaloupes, 11, 2.4
Corn, Prunes, 47, 10.5
Corn, Olives, 2750, 611.6
Corn, Peppers, 17, 3.8
Corn, Pomegranates, 4, 0.9
Corn, Plums, 116, 25.8
Corn, Strawberries, 77, 17.1
Corn, Squash, 88, 19.6
Corn, Dbl Crop WinWht/Corn, 2180, 484.8
Corn, Dbl Crop Oats/Corn, 968, 215.3
Corn, Lettuce, 7, 1.6
Corn, Dbl Crop Triticale/Corn, 447, 99.4
Corn, Pumpkins, 426, 94.7
Corn, Dbl Crop WinWht/Sorghum, 1, 0.2
Corn, Dbl Crop Barley/Corn, 268, 59.6
Cotton, Corn, 19, 4.2
Cotton, Cotton, 6, 1.3
Cotton, Rice, 12, 2.7
Cotton, Sunflowers, 5, 1.1
Cotton, Barley, 3, 0.7
Cotton, Winter Wheat, 24, 5.3
Cotton, Rye, 1, 0.2
Cotton, Oats, 8, 1.8
Cotton, Safflower, 8, 1.8
Cotton, Alfalfa, 139, 30.9
Cotton, Other Hay/Non Alfalfa, 43, 9.6
Cotton, Dry Beans, 1, 0.2
Cotton, Hemp, 4, 0.9
Cotton, Watermelons, 1, 0.2
Cotton, Cucumbers, 1, 0.2
Cotton, Tomatoes, 31, 6.9
Cotton, Herbs, 1, 0.2
Cotton, Clover/Wildflowers, 15, 3.3
Cotton, Fallow/Idle Cropland, 34, 7.6
Cotton, Cherries, 35, 7.8
Cotton, Peaches, 2, 0.4
Cotton, Grapes, 3, 0.7
Cotton, Almonds, 54, 12.0
Cotton, Walnuts, 19, 4.2
Cotton, Open Water, 4, 0.9
Cotton, Developed/Open Space, 9, 2.0
Cotton, Developed/Low Intensity, 8, 1.8
Cotton, Developed/Medium Intensity, 7, 1.6
Cotton, Developed/High Intensity, 4, 0.9
Cotton, Shrubland, 1, 0.2
Cotton, Grass/Pasture, 4, 0.9
Cotton, Woody Wetlands, 6, 1.3
Cotton, Herbaceous Wetlands, 10, 2.2
Cotton, Pistachios, 50, 11.1
Cotton, Triticale, 3, 0.7
Cotton, Garlic, 7, 1.6
Cotton, Olives, 1, 0.2
Cotton, Strawberries, 2, 0.4
Cotton, Dbl Crop WinWht/Corn, 35, 7.8
Cotton, Dbl Crop Oats/Corn, 1, 0.2
Rice, Corn, 258, 57.4
Rice, Cotton, 2, 0.4
Rice, Rice, 23108, 5139.1
Rice, Sorghum, 14, 3.1
Rice, Sunflowers, 98, 21.8
Rice, Sweet Corn, 8, 1.8
Rice, Barley, 12, 2.7
Rice, Winter Wheat, 136, 30.2
Rice, Rye, 16, 3.6
Rice, Oats, 15, 3.3
Rice, Safflower, 104, 23.1
Rice, Alfalfa, 526, 117.0
Rice, Other Hay/Non Alfalfa, 84, 18.7
Rice, Dry Beans, 1, 0.2
Rice, Hemp, 1341, 298.2
Rice, Watermelons, 19, 4.2
Rice, Onions, 6, 1.3
Rice, Cucumbers, 9, 2.0
Rice, Tomatoes, 132, 29.4
Rice, Clover/Wildflowers, 14, 3.1
Rice, Sod/Grass Seed, 10, 2.2
Rice, Fallow/Idle Cropland, 3042, 676.5
Rice, Cherries, 7, 1.6
Rice, Peaches, 24, 5.3
Rice, Grapes, 14, 3.1
Rice, Other Tree Crops, 2, 0.4
Rice, Pecans, 20, 4.4
Rice, Almonds, 232, 51.6
Rice, Walnuts, 34, 7.6
Rice, Pears, 2, 0.4
Rice, Aquaculture, 2, 0.4
Rice, Open Water, 414, 92.1
Rice, Developed/Open Space, 89, 19.8
Rice, Developed/Low Intensity, 72, 16.0
Rice, Developed/Medium Intensity, 59, 13.1
Rice, Developed/High Intensity, 59, 13.1
Rice, Barren, 124, 27.6
Rice, Mixed Forest, 3, 0.7
Rice, Shrubland, 12, 2.7
Rice, Grass/Pasture, 19, 4.2
Rice, Woody Wetlands, 149, 33.1
Rice, Herbaceous Wetlands, 152, 33.8
Rice, Triticale, 17, 3.8
Rice, Carrots, 4, 0.9
Rice, Garlic, 3, 0.7
Rice, Prunes, 4, 0.9
Rice, Olives, 11, 2.4
Rice, Peppers, 2, 0.4
Rice, Plums, 30, 6.7
Rice, Strawberries, 3, 0.7
Rice, Dbl Crop WinWht/Corn, 16, 3.6
Rice, Dbl Crop Oats/Corn, 21, 4.7
Rice, Dbl Crop Triticale/Corn, 1, 0.2
Rice, Pumpkins, 2, 0.4
Sorghum, Corn, 4931, 1096.6
Sorghum, Cotton, 1, 0.2
Sorghum, Rice, 65, 14.5
Sorghum, Sorghum, 11, 2.4
Sorghum, Sunflowers, 67, 14.9
Sorghum, Sweet Corn, 56, 12.5
Sorghum, Pop or Orn Corn, 1, 0.2
Sorghum, Barley, 262, 58.3
Sorghum, Winter Wheat, 2248, 499.9
Sorghum, Rye, 7, 1.6
Sorghum, Oats, 116, 25.8
Sorghum, Safflower, 404, 89.8
Sorghum, Alfalfa, 1541, 342.7
Sorghum, Other Hay/Non Alfalfa, 258, 57.4
Sorghum, Dry Beans, 5, 1.1
Sorghum, Hemp, 30, 6.7
Sorghum, Watermelons, 76, 16.9
Sorghum, Onions, 1, 0.2
Sorghum, Cucumbers, 67, 14.9
Sorghum, Peas, 2, 0.4
Sorghum, Tomatoes, 646, 143.7
Sorghum, Herbs, 1, 0.2
Sorghum, Clover/Wildflowers, 3, 0.7
Sorghum, Fallow/Idle Cropland, 378, 84.1
Sorghum, Cherries, 22, 4.9
Sorghum, Grapes, 14, 3.1
Sorghum, Almonds, 1140, 253.5
Sorghum, Walnuts, 48, 10.7
Sorghum, Pears, 1, 0.2
Sorghum, Open Water, 6, 1.3
Sorghum, Developed/Open Space, 60, 13.3
Sorghum, Developed/Low Intensity, 67, 14.9
Sorghum, Developed/Medium Intensity, 42, 9.3
Sorghum, Developed/High Intensity, 116, 25.8
Sorghum, Shrubland, 1, 0.2
Sorghum, Grass/Pasture, 35, 7.8
Sorghum, Woody Wetlands, 5, 1.1
Sorghum, Herbaceous Wetlands, 21, 4.7
Sorghum, Pistachios, 22, 4.9
Sorghum, Triticale, 933, 207.5
Sorghum, Garlic, 193, 42.9
Sorghum, Prunes, 1, 0.2
Sorghum, Olives, 17, 3.8
Sorghum, Peppers, 1, 0.2
Sorghum, Plums, 3, 0.7
Sorghum, Squash, 3, 0.7
Sorghum, Dbl Crop WinWht/Corn, 105, 23.4
Sorghum, Dbl Crop Oats/Corn, 4, 0.9
Sorghum, Dbl Crop Triticale/Corn, 1, 0.2
Sorghum, Pumpkins, 79, 17.6
Soybeans, Corn, 456, 101.4
Soybeans, Rice, 10, 2.2
Soybeans, Sorghum, 23, 5.1
Soybeans, Sunflowers, 54, 12.0
Soybeans, Sweet Corn, 1, 0.2
Soybeans, Winter Wheat, 44, 9.8
Soybeans, Rye, 1, 0.2
Soybeans, Oats, 3, 0.7
Soybeans, Safflower, 24, 5.3
Soybeans, Alfalfa, 1018, 226.4
Soybeans, Other Hay/Non Alfalfa, 19, 4.2
Soybeans, Dry Beans, 1, 0.2
Soybeans, Hemp, 4, 0.9
Soybeans, Cucumbers, 4, 0.9
Soybeans, Tomatoes, 18, 4.0
Soybeans, Clover/Wildflowers, 2, 0.4
Soybeans, Fallow/Idle Cropland, 72, 16.0
Soybeans, Cherries, 3, 0.7
Soybeans, Grapes, 5, 1.1
Soybeans, Almonds, 162, 36.0
Soybeans, Pears, 1, 0.2
Soybeans, Open Water, 1, 0.2
Soybeans, Developed/Open Space, 2, 0.4
