Academic Year,Aggregate Level,County Code,District Code,School Code,County Name,District Name,School Name,Reporting Category,"One-Year 
Graduate Count"
2020-21,T,00,00000,0000000,N/A,N/A,N/A,GF,"218,416"
2020-21,T,00,00000,0000000,N/A,N/A,N/A,GM,"215,181"
2020-21,T,00,00000,0000000,N/A,N/A,N/A,GX,143
2020-21,T,00,00000,0000000,N/A,N/A,N/A,RA,"44,783"
2020-21,T,00,00000,0000000,N/A,N/A,N/A,RB,"21,842"
2020-21,T,00,00000,0000000,N/A,N/A,N/A,RD,"2,477"
2020-21,T,00,00000,0000000,N/A,N/A,N/A,RF,"13,417"
2020-21,T,00,00000,0000000,N/A,N/A,N/A,RH,"228,745"
2020-21,T,00,00000,0000000,N/A,N/A,N/A,RI,"2,000"
2020-21,T,00,00000,0000000,N/A,N/A,N/A,RP,"2,075"
2020-21,T,00,00000,0000000,N/A,N/A,N/A,RT,"14,428"
2020-21,T,00,00000,0000000,N/A,N/A,N/A,RW,"103,973"
2020-21,T,00,00000,0000000,N/A,N/A,N/A,SD,"42,050"
2020-21,T,00,00000,0000000,N/A,N/A,N/A,SE,"33,606"
2020-21,T,00,00000,0000000,N/A,N/A,N/A,SF,"2,417"
2020-21,T,00,00000,0000000,N/A,N/A,N/A,SH,"14,682"
2020-21,T,00,00000,0000000,N/A,N/A,N/A,SM,"3,075"
2020-21,T,00,00000,0000000,N/A,N/A,N/A,SS,"248,296"
2020-21,T,00,00000,0000000,N/A,N/A,N/A,TA,"433,740"
2020-21,D,01,10017,0000000,Alameda,Alameda County Office of Education,District Office,GF,167
2020-21,D,01,10017,0000000,Alameda,Alameda County Office of Education,District Office,GM,141
2020-21,D,01,10017,0000000,Alameda,Alameda County Office of Education,District Office,RA,8
2020-21,D,01,10017,0000000,Alameda,Alameda County Office of Education,District Office,RB,103
2020-21,D,01,10017,0000000,Alameda,Alameda County Office of Education,District Office,RD,2
2020-21,D,01,10017,0000000,Alameda,Alameda County Office of Education,District Office,RF,3
2020-21,D,01,10017,0000000,Alameda,Alameda County Office of Education,District Office,RH,143
2020-21,D,01,10017,0000000,Alameda,Alameda County Office of Education,District Office,RI,2
2020-21,D,01,10017,0000000,Alameda,Alameda County Office of Education,District Office,RP,7
2020-21,D,01,10017,0000000,Alameda,Alameda County Office of Education,District Office,RT,15
2020-21,D,01,10017,0000000,Alameda,Alameda County Office of Education,District Office,RW,25
2020-21,D,01,10017,0000000,Alameda,Alameda County Office of Education,District Office,SD,31
2020-21,D,01,10017,0000000,Alameda,Alameda County Office of Education,District Office,SE,31
2020-21,D,01,10017,0000000,Alameda,Alameda County Office of Education,District Office,SF,7
2020-21,D,01,10017,0000000,Alameda,Alameda County Office of Education,District Office,SH,8
2020-21,D,01,10017,0000000,Alameda,Alameda County Office of Education,District Office,SS,222
2020-21,D,01,10017,0000000,Alameda,Alameda County Office of Education,District Office,TA,308
2020-21,S,01,10017,0112607,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,GF,50
2020-21,S,01,10017,0112607,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,GM,38
2020-21,S,01,10017,0112607,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,RB,24
2020-21,S,01,10017,0112607,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,RH,54
2020-21,S,01,10017,0112607,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,RI,1
2020-21,S,01,10017,0112607,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,RP,1
2020-21,S,01,10017,0112607,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,RT,6
2020-21,S,01,10017,0112607,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,RW,2
2020-21,S,01,10017,0112607,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,SD,10
2020-21,S,01,10017,0112607,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,SE,10
2020-21,S,01,10017,0112607,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,SS,68
2020-21,S,01,10017,0112607,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,TA,88
2020-21,S,01,10017,0130401,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,GM,18
2020-21,S,01,10017,0130401,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,RB,11
2020-21,S,01,10017,0130401,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,RH,6
2020-21,S,01,10017,0130401,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,RW,1
2020-21,S,01,10017,0130401,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,SD,5
2020-21,S,01,10017,0130401,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,SF,2
2020-21,S,01,10017,0130401,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,SH,4
2020-21,S,01,10017,0130401,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,SS,18
2020-21,S,01,10017,0130401,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,TA,18
2020-21,S,01,10017,0130419,Alameda,Alameda County Office of Education,Alameda County Community,GF,20
2020-21,S,01,10017,0130419,Alameda,Alameda County Office of Education,Alameda County Community,GM,8
2020-21,S,01,10017,0130419,Alameda,Alameda County Office of Education,Alameda County Community,RB,9
2020-21,S,01,10017,0130419,Alameda,Alameda County Office of Education,Alameda County Community,RH,16
2020-21,S,01,10017,0130419,Alameda,Alameda County Office of Education,Alameda County Community,RP,1
2020-21,S,01,10017,0130419,Alameda,Alameda County Office of Education,Alameda County Community,RW,2
2020-21,S,01,10017,0130419,Alameda,Alameda County Office of Education,Alameda County Community,SD,4
2020-21,S,01,10017,0130419,Alameda,Alameda County Office of Education,Alameda County Community,SE,7
2020-21,S,01,10017,0130419,Alameda,Alameda County Office of Education,Alameda County Community,SF,2
2020-21,S,01,10017,0130419,Alameda,Alameda County Office of Education,Alameda County Community,SH,2
2020-21,S,01,10017,0130419,Alameda,Alameda County Office of Education,Alameda County Community,SS,22
2020-21,S,01,10017,0130419,Alameda,Alameda County Office of Education,Alameda County Community,TA,28
2020-21,S,01,10017,0136101,Alameda,Alameda County Office of Education,Connecting Waters Charter - East Bay,GF,11
2020-21,S,01,10017,0136101,Alameda,Alameda County Office of Education,Connecting Waters Charter - East Bay,GM,6
2020-21,S,01,10017,0136101,Alameda,Alameda County Office of Education,Connecting Waters Charter - East Bay,RA,2
2020-21,S,01,10017,0136101,Alameda,Alameda County Office of Education,Connecting Waters Charter - East Bay,RB,1
2020-21,S,01,10017,0136101,Alameda,Alameda County Office of Education,Connecting Waters Charter - East Bay,RD,1
2020-21,S,01,10017,0136101,Alameda,Alameda County Office of Education,Connecting Waters Charter - East Bay,RF,2
2020-21,S,01,10017,0136101,Alameda,Alameda County Office of Education,Connecting Waters Charter - East Bay,RH,1
2020-21,S,01,10017,0136101,Alameda,Alameda County Office of Education,Connecting Waters Charter - East Bay,RT,2
2020-21,S,01,10017,0136101,Alameda,Alameda County Office of Education,Connecting Waters Charter - East Bay,RW,8
2020-21,S,01,10017,0136101,Alameda,Alameda County Office of Education,Connecting Waters Charter - East Bay,SD,1
2020-21,S,01,10017,0136101,Alameda,Alameda County Office of Education,Connecting Waters Charter - East Bay,SE,2
2020-21,S,01,10017,0136101,Alameda,Alameda County Office of Education,Connecting Waters Charter - East Bay,SS,8
2020-21,S,01,10017,0136101,Alameda,Alameda County Office of Education,Connecting Waters Charter - East Bay,TA,17
2020-21,S,01,10017,0136226,Alameda,Alameda County Office of Education,Opportunity Academy,GF,86
2020-21,S,01,10017,0136226,Alameda,Alameda County Office of Education,Opportunity Academy,GM,71
2020-21,S,01,10017,0136226,Alameda,Alameda County Office of Education,Opportunity Academy,RA,6
2020-21,S,01,10017,0136226,Alameda,Alameda County Office of Education,Opportunity Academy,RB,58
2020-21,S,01,10017,0136226,Alameda,Alameda County Office of Education,Opportunity Academy,RD,1
2020-21,S,01,10017,0136226,Alameda,Alameda County Office of Education,Opportunity Academy,RF,1
2020-21,S,01,10017,0136226,Alameda,Alameda County Office of Education,Opportunity Academy,RH,66
2020-21,S,01,10017,0136226,Alameda,Alameda County Office of Education,Opportunity Academy,RI,1
2020-21,S,01,10017,0136226,Alameda,Alameda County Office of Education,Opportunity Academy,RP,5
2020-21,S,01,10017,0136226,Alameda,Alameda County Office of Education,Opportunity Academy,RT,7
2020-21,S,01,10017,0136226,Alameda,Alameda County Office of Education,Opportunity Academy,RW,12
2020-21,S,01,10017,0136226,Alameda,Alameda County Office of Education,Opportunity Academy,SD,11
2020-21,S,01,10017,0136226,Alameda,Alameda County Office of Education,Opportunity Academy,SE,12
2020-21,S,01,10017,0136226,Alameda,Alameda County Office of Education,Opportunity Academy,SF,3
2020-21,S,01,10017,0136226,Alameda,Alameda County Office of Education,Opportunity Academy,SH,2
2020-21,S,01,10017,0136226,Alameda,Alameda County Office of Education,Opportunity Academy,SS,106
2020-21,S,01,10017,0136226,Alameda,Alameda County Office of Education,Opportunity Academy,TA,157
