ZipCode/Item,,,,2022-0281 Bighorn Sheep Tag Drawing Application (Nonres),2022-0280 Bighorn Sheep Tag Drawing Application (Res),,2022-1500 Carrizo Plain ER - Chimineas Unit Apprentice Deer Draw Application,2022-1152 Deer Tag Drawing Application - 1st Deer (Lifetime Licensee),2022-1151 Deer Tag Drawing Application - 1st Deer (Nonres),2022-1150 Deer Tag Drawing Application - 1st Deer (Res),,2022-1161 Deer Tag Drawing Application - 2nd Deer (Nonres),2022-1160 Deer Tag Drawing Application - 2nd Deer (Res),,2022-0211 Elk Tag Drawing Application (Nonres),,2022-0210 Elk Tag Drawing Application (Res),,2022-6086 Hunter Education Instructor Only - Deer - Open Zone Drawing Application,,2022-0201 Pronghorn Antelope Tag Drawing Application (Nonres),2022-0200 Pronghorn Antelope Tag Drawing Application (Res),2022-1700 Tehama Wildlife Area G1 Deer Hunt Access Permit Application,2022-1131 Bear Tag (Nonres),2022-1132 Bear Tag (Res - Junior),2022-1130 Bear Tag (Res),2022-4511 Bighorn Sheep Tag (Nonres),2022-4510 Bighorn Sheep Tag (Res),2022-4513 Bighorn Sheep Tag - Fundraising (Nonres),2022-4512 Bighorn Sheep Tag - Fundraising (Res),2022-1542 Deer Exception Exchange 1st Deer Tag,2022-1543 Deer Exception Exchange 2nd Deer Tag,2022-1540 Deer Exchange 1st Deer Tag,2022-1541 Deer Exchange 2nd Deer Tag,2022-1341 Deer Tag  - 2nd Deer  (Nonres),2022-1342 Deer Tag  - 2nd Deer (Draw Issued),2022-1349 Deer Tag  - 2nd Deer (Unsuccessful Draw),2022-1344 Deer Tag  - Fundraising 2nd Deer  (Res),2022-1343 Deer Tag  - Military 2nd Deer  (Res),2022-1142 Deer Tag - 1st Deer (Draw Issued),2022-1143 Deer Tag - 1st Deer (Lifetime Licensee),2022-1141 Deer Tag - 1st Deer (Nonres),2022-1140 Deer Tag - 1st Deer (Res),2022-1149 Deer Tag - 1st Deer (Unsuccessful Draw),2022-9145 Deer Tag - 1st Deer Landowner (Lifetime Licensee),2022-1146 Deer Tag - 1st Deer Landowner (Nonres),2022-1145 Deer Tag - 1st Deer Landowner (Res),2022-9143 Deer Tag - 1st Deer Landowner (Unsuccessful Draw),2022-9144 Deer Tag - 1st Deer Military (Lifetime Licensee),2022-9142 Deer Tag - 1st Deer Military (Unsuccessful Draw),2022-1340 Deer Tag - 2nd Deer (Res),2022-1351 Deer Tag - 2nd Deer Landowner (Res),2022-9141 Deer Tag - Military 1st Deer (Nonres) ,2022-1144 Deer Tag - Military 1st Deer (Res),2022-3371 Elk Tag (Nonres),2022-3376 Elk Tag (Res - Junior),2022-3370 Elk Tag (Res),2022-3381 Elk Tag - Fundraising (Nonres),2022-3380 Elk Tag - Fundraising (Res),2022-3378 Elk Tag - Hunter Ed Instructor Incentive Program SHARE (Res),2022-3390 Elk Tag - Sec 555 Landowner (Res),2022-3375 Elk Tag - SHARE (Nonres),2022-3379 Elk Tag - SHARE (Res - Junior),2022-3374 Elk Tag - SHARE (Res),2022-5050 PLM Bear,2022-5000 PLM Deer Tag (Antlerless),2022-5010 PLM Deer Tag (Buck),2022-5110 PLM Deer Tag (Either-Sex),2022-5080 PLM Elk Tag (Antlerless),2022-5040 PLM Elk Tag (Bull),2022-5020 PLM Pronghorn Antelope Tag (Buck),2022-4331 Pronghorn Antelope Tag (Nonres),2022-4335 Pronghorn Antelope Tag (Res - Junior),2022-4330 Pronghorn Antelope Tag (Res),2022-4332 Pronghorn Antelope Tag - Fundraising (Res),2022-4711 Wild Pig Tag (Nonres),2022-4710 Wild Pig Tag (Res),2022-4717 Wild Pig Tag - Lifetime (up to 5 Free),"2022-6210 Big Game Tag Return Processing Fee (Antelope, Bighorn Sheep, and Elk)",2022-1190 Deer Tag Non-Reporting Fee,2022-1191 Deer Tag Non-Reporting Fee (Manual),2022-6807 Fundraising Donation - Bighorn Sheep,2022-6808 Fundraising Donation - Deer,2022-6805 Fundraising Donation - Elk,2022-6806 Fundraising Donation - Pronghorn Antelope,2022-1195 Offset Fee - Resident to Nonresident 1st Deer Tag,2022-7204 Refund - Nonresident 1st Deer Drawing Application,2022-7203 Refund - Nonresident 2nd Deer Drawing Application,2022-3320 Hunting License  - Disabled Veteran,2022-3321 Hunting License  - Recovering Service Member,2022-1110 Hunting License (Junior),2022-1117 Hunting License (Junior) - Lifetime,2022-1120 Hunting License (Nonres),2022-1100 Hunting License (Res),2022-1107 Hunting License - Lifetime,2022-1220 Hunting 1-Day License (Nonres) Game Bird Club,2022-1170 Hunting 2-Day License (Nonres),2022-3350 Disabled Archer Permit,2022-3351 Disabled Archer Permit - Temporary,2022-0150 Harvest Information Program (HIP) Validation,2022-7180 Hunter Education Certificate (Dup),2022-7505 Hunter Education Class Pre-Registration,2022-1457 SHARE Big Game Hunts Multi Choice Application,2022-1456 SHARE Bird Hunts Multi Choice Application,2022-1466 SHARE Elk Multi-Choice Draw Application,2022-1454 SHARE Elk Private Lands Management Area (PLM) Draw Application,2022-5060 PLM Turkey Tag,2022-5070 PLM Upland Game Bird Seal,2022-1600 Dove Hunt Drawing Application,2022-1607 Fall Turkey Hunt Drawing Application,2022-1602 Little Dry Creek Family Pheasant Hunt Drawing Application,2022-1601 Quail/Chukar Hunt Drawing Application,2022-1603 Spring Turkey Hunt Drawing Application - All Junior Hunts,2022-1606 Spring Turkey Hunt Drawing Application - Archery Only,2022-1605 Spring Turkey Hunt Drawing Application - Balance of Season,2022-1604 Spring Turkey Hunt Drawing Application - Opening Weekend,2022-1480 Upland Game Bird Validation,2022-1487 Upland Game Bird Validation- Lifetime,2022-1440 Type A Wildlife Area Season Pass,2022-1430 Type B Wildlife Area Season Pass ,2022-1411 Type A Wildlife Area Pass (1-Day),2022-1410 Type A Wildlife Area Pass (1-Day) - Two Day Package Constituent,2022-1420 Wildlife Area Pass (2-Day Package),2022-1494 Waterfowl Active Military and Veteran Weekend  Mobility Impaired Hunts Application,2022-1492 Waterfowl Active Military and Veteran Weekend Application,2022-1400 Waterfowl Multi Choice Application,2022-1401 Waterfowl Multi Choice Application (Mobility Impaired Hunts),2022-1490 Waterfowl Season Long Application,2022-1491 Waterfowl Season Long Application (Mobility Impaired Hunts),2022-1180 California Duck Validation,2022-1187 California Duck Validation - Lifetime,Grand Total
75261,,,,1164,17539,,200,2059,914,64121,,1,629,,1206,,39068,,339,,795,26857,1252,82,787,11627,,,,,,,,,64,396,63,,,64944,397,281,15523,4139,,,,,,,19552,,,,1,14,145,,,,,1,5,78,,,,,,,,,11,107,,249,12098,6587,,9465,,,,,,,,,2745,1,7099,661,2690,93990,5268,355,1135,893,29,55026,929,1163,5770,5581,28396,1381,,,1406,710,1734,1156,591,507,2992,3157,54340,2545,1953,222,750,2868,1434,347,5900,762342,20769,233103,9782,24547,2287,1651314
86403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,1,,,2,,,3,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,13
89410,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,2,,,5,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,3,,16
89423,,,,,,,,2,1,5,,,,,,,,,,,,,,6,1,1,,,,,,,,,2,,,,,,,8,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,,2,,,,,,,,,1,,3,,21,11,11,,20,,,38,,,,,,,,,,,,,,,,,31,5,,,1,2,1,,,,,,,14,2,197
89431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,3,,,2,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,2,,11
89434,,,,,,,,,,,,,,,,,,,,,,,,6,,2,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2,,,1,,,,,,,,,6,,6,,67,4,,,66,,,83,,,,,,,,,,,,,,,,,93,,,1,1,6,3,,,,,,,45,,406
89439,,,,1,,,,,1,1,,,,,1,,,,,,1,,,7,,3,,,,,,,,,1,,,,,,1,8,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,8,,3,,,,,,,,,1,,11,,65,30,3,,92,,,120,,,,,,,,,,,,,,,,,90,1,1,3,7,4,2,,,,,,,83,2,573
89502,,,,,,,,,3,4,,,,,,,,,,,,1,,6,2,2,,,,,,,,,1,,,,,,1,15,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,1,,,1,,,,,,,,,8,,27,,156,18,3,,143,,,191,1,,,,,,,,,,,,,,,,146,1,1,,14,4,2,,,,,,,135,1,936
89523,,,,,,,,,1,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,5,1,,2,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,1,,20
89701,,,,,,,,,1,,,,,,,,,,,,1,,,9,,3,,,,,,,,,2,,,,,,1,4,3,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,12,,5,,4,,,,,,,,,6,,9,,56,8,11,,37,,,81,,,,,,,,,,,,,,,,,64,2,,,7,4,2,,,64,,,,46,1,447
89706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
90010,,,,,,,,,,4,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,24,3,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,11,,,,,,,,,1,,,,,59,,,,,,21,,1,,,,,,,,,,,,,,,28,,,,7,,,,,,,,,8,,205
90016,,,,,,,,,,3,,,,,,,,,,,,,,,2,28,,,,,,,,,,,,,,,,,65,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,14,,,,,,,,,1,,3,,1,95,,,,,,15,,1,,,,,,,,,,,,,,,33,,,,4,4,2,,,,,,,1,,342
90042,,,,,,,,,,1,,,,,,,1,,,,,,,,,11,,,,,,,,,,,,,,,,,33,1,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,6,,,,,,,,,,,5,,,66,,,1,,,28,,,,,,,,,,,,,,,,,47,,,,5,16,8,,,,,,,10,,257
90048,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,18,1,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,6,,,,,,,,,,,,,0,44,,,1,,,4,,,,,,,,,,,,,,,,,14,,,,7,,,,,,,,,0,,122
90201,,,,,,,,,,16,,,,,,,,,,,,,,,1,28,,,,,,,,,,,,,,,,,89,6,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,27,,,,,,,,,,,5,,,182,,,,,,69,,,,,,,,,,,,,,,,,94,,,,1,,,,,,,,,4,,610
90230,,,,,,,,1,,3,,,,,,,,,,,,,,,1,14,,,,,,,,,,,,,,,,,39,2,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,10,,,,,,,,,1,,5,,3,113,2,,,,,58,,,,,,,,,,,,,,,,,70,1,,,17,4,2,,,,,,,16,1,430
90241,,,,,,,,,,8,,,,,,,,,,,,,,,1,18,,,,,,,,,,,,,,,,,55,4,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,24,,,,,,,,,,,5,,1,126,,,,,,35,,,,,,,,,,,,,,,,,74,,,,6,10,5,,,,,,,5,,424
90242,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,8
90245,,,,,,,,,,14,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,56,5,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,16,,,,,,,,,3,,7,1,1,193,3,,,,,78,,,,,,,,,,,,,,,,,139,2,3,,14,10,5,,,,,,,29,1,680
