ZipCode/Item,,,,2022-3347 Sport Fishing License (Free - Nonres Developmentally Impaired),2022-3348 Sport Fishing License (Free - Nonres Visually Impaired),,2022-3340 Sport Fishing License (Free - Res Developmentally Impaired),2022-3341 Sport Fishing License (Free - Res Mobility Impaired),2022-3343 Sport Fishing License (Free - Res Native American w/Low Income),2022-3342 Sport Fishing License (Free - Res Visually Impaired),,2022-1020 Sport Fishing License (Nonres),2022-3310 Sport Fishing License (Reduced - Disabled Veteran),,2022-3312 Sport Fishing License (Reduced - Recovering Service Member),,2022-3311 Sport Fishing License (Reduced - Res Senior w/Low Income),,2022-1010 Sport Fishing License (Res),,2022-1011 Sport Fishing License (Res)  - Voucher Redemption,2022-1017 Sport Fishing License - Lifetime,2022-1043 Sport Fishing 1-Day License (Quick-Sale),2022-1040 Sport Fishing 1-Day License (Res/Nonres),2022-1041 Sport Fishing 1-Day License (Res/Nonres) (TAN),2022-0230 Sport Fishing 10-Day License (Nonres),2022-0250 Sport Fishing 2-Day License (Res/Nonres),2022-1510 SHARE Fishing Multi Choice Application,2022-1000 North Coast Salmon Report Card,2022-1007 North Coast Salmon Report Card - Lifetime,2022-0271 Spiny Lobster Report Card (Full Season),2022-1030 Steelhead Report And Restoration Card,2022-1037 Steelhead Report and Restoration Card - Lifetime,2022-0260 Sturgeon Fishing Report Card,2022-1080 Recreational Crab Trap Validation,2022-1081 Recreational Crab Trap Validation (TAN),2022-0220 Second-Rod Sport Fishing Validation,2022-0227 Second-Rod Sport Fishing Validation - Lifetime,2022-1070 Sport Ocean Enhancement Validation,2022-1077 Sport Ocean Enhancement Validation - Lifetime,2022-1019 Gift Voucher for Resident Sport Fishing License - Not Valid until Redeemed,2022-9010 Multi-day Trip Declaration,2022-9012 Multi-day Trip Declaration - CPFV,2022-0275 Spiny Lobster Non-Reporting Fee,Grand Total
75261,,,,7,2,,647,1107,0,102,,5403,7844,,3,,0,,208897,,3155,9731,,90085,1517,6779,18041,871,2946,1651,3050,6892,1613,3927,15738,79,51859,3683,52053,3597,9703,,,315,511297
86403,,,,,,,,,,,,25,15,,,,,,275,,3,1,,546,,24,192,,,,,,,,1,,128,1,112,1,,,,,1324
89410,,,,,,,,,,,,52,7,,,,,,150,,,7,,193,,6,58,,,,,1,,2,1,,66,,16,,,,,,559
89423,,,,,,,,2,,,,346,13,,,,,,120,,1,54,,367,,47,153,,4,,,6,,3,9,,161,7,22,7,3,,,,1325
89431,,,,,,,,,,,,28,3,,,,,,8,,,2,,81,,14,45,,,,,3,,,,,15,2,,,,,,,201
89434,,,,,,,,,,,,383,9,,,,,,38,,,16,,532,,54,232,,12,,1,14,,16,9,,162,1,17,1,,,,,1497
89439,,,,,,,,,,,,532,14,,,,,,181,,1,16,,557,,75,295,,17,,1,39,,14,14,,227,4,32,3,,,,,2022
89448,,,,,,,,,,,,,,,,,,,2,,,,74,1,,,,,,,,,,,,,,,,,,,,,77
89502,,,,,,,,,,,,927,42,,,,,,97,,,24,,895,,119,438,,25,,1,66,,31,25,,437,,27,,,,,,3154
89523,,,,,,,,,,,,65,3,,,,,,13,,1,2,,152,,10,86,,,,,1,,,,,25,2,7,,,,,,367
89701,,,,,,,,,,,,608,29,,,,,,96,,,33,,774,,125,492,,10,4,,14,4,11,7,,301,6,17,5,1,,,,2537
89706,,,,,,,,,,,,18,1,,,,,,7,,,1,,33,,8,13,,,,,,,,,,12,,4,,,,,,97
90004,,,,,,,,,,,,1,,,,,,,328,,,1,,72,,,8,,1,,39,1,,,6,,80,,314,,,,,10,861
90006,,,,,,,,,,,,,,,,,,,106,,,,,31,,,,,,,,,,,47,,13,,106,,,,,,303
