Month,Year ,Total
1,2015,1920
2,2015,2453
3,2015,4700
4,2015,6390
5,2015,7606
6,2015,8344
7,2015,10556
8,2015,9199
9,2015,7444
10,2015,6176
11,2015,4934
12,2015,1831
1,2016,2227
2,2016,2901
3,2016,3242
4,2016,7718
5,2016,6842
6,2016,7931
7,2016,11418
8,2016,8427
9,2016,7947
10,2016,6228
11,2016,5546
12,2016,2358
1,2017,1005
2,2017,1285
3,2017,7298
4,2017,8582
5,2017,10989
6,2017,9060
7,2017,11348
8,2017,8464
9,2017,7191
10,2017,6056
11,2017,4996
12,2017,2359
1,2018,2220
2,2018,2387
3,2018,2416
4,2018,4127
5,2018,6975
6,2018,7508
7,2018,6608
8,2018,7026
9,2018,6772
10,2018,5055
11,2018,4134
12,2018,2247
1,2019,591
2,2019,440
3,2019,2310
4,2019,3928
5,2019,3167
6,2019,5293
7,2019,5000
8,2019,5920
9,2019,5526
10,2019,3338
11,2019,2650
12,2019,1119
1,2020,1511
2,2020,1654
3,2020,2303
4,2020,11
5,2020,288
6,2020,5760
7,2020,6362
8,2020,7130
9,2020,0
10,2020,0
11,2020,5347
12,2020,2424
1,2021,2474
2,2021,2526
3,2021,4117
4,2021,6421
5,2021,7378
6,2021,0
7,2021,7451
8,2021,6306
9,2021,5532
10,2021,4493
11,2021,3368
12,2021,1547
1,2022,2037
2,2022,2922
3,2022,0
4,2022,0
5,2022,0
6,2022,6170
7,2022,0
8,2022,0
9,2022,0
10,2022,0
11,2022,0
12,2022,941
