Month,Year ,Total
1,2015,370
2,2015,500
3,2015,492
4,2015,506
5,2015,1412
6,2015,575
7,2015,753
8,2015,784
9,2015,496
10,2015,448
11,2015,425
12,2015,234
1,2016,337
2,2016,945
3,2016,542
4,2016,526
5,2016,907
6,2016,487
7,2016,326
8,2016,569
9,2016,599
10,2016,673
11,2016,555
12,2016,223
1,2017,494
2,2017,408
3,2017,504
4,2017,645
5,2017,1007
6,2017,544
7,2017,545
8,2017,646
9,2017,604
10,2017,476
11,2017,502
12,2017,325
1,2018,558
2,2018,807
3,2018,645
4,2018,757
5,2018,992
6,2018,534
7,2018,534
8,2018,479
9,2018,601
10,2018,576
11,2018,463
12,2018,357
1,2019,424
2,2019,877
3,2019,648
4,2019,102
5,2019,123
6,2019,709
7,2019,791
8,2019,209
9,2019,725
10,2019,295
11,2019,290
12,2019,231
1,2020,332
2,2020,257
3,2020,277
4,2020,216
5,2020,273
6,2020,255
7,2020,301
8,2020,313
9,2020,294
10,2020,0
11,2020,0
12,2020,0
1,2021,0
2,2021,0
3,2021,0
4,2021,0
5,2021,0
6,2021,0
7,2021,0
8,2021,0
9,2021,0
10,2021,0
11,2021,0
12,2021,0
1,2022,0
2,2022,0
3,2022,0
4,2022,0
5,2022,0
6,2022,0
7,2022,0
8,2022,0
9,2022,0
10,2022,0
11,2022,0
12,2022,0
